player_id,current_club_id,first_name,last_name,name,position,sub_position,age,market_value_in_eur,current_club_name,competition_name,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
398073,583,Achraf,Hakimi,Achraf Hakimi,Defender,Right-Back,24.0,70000000,Paris Saint-Germain,ligue-1,23(5),2053.0,1.9,0.6,1,-,0.5,1.0,0.1,-,6.94
616341,583,Nuno,Mendes,Nuno Mendes,Defender,Left-Back,20.0,60000000,Paris Saint-Germain,ligue-1,18(5),1554.0,2.0,0.7,1.1,0.1,0.7,0.5,0.1,-,7.04
282041,583,Presnel,Kimpembe,Presnel Kimpembe,Defender,Centre-Back,27.0,40000000,Paris Saint-Germain,ligue-1,9(2),731.0,1.5,1.2,2,0.2,0.8,0.4,0.6,-,6.61
463603,631,Benoît,Badiashile,Benoît Badiashile,Defender,Centre-Back,21.0,40000000,Chelsea FC,premier-league,9(2),839.0,0.9,1.5,0.9,0.3,3.5,0.5,0.5,-,6.86
386047,162,Axel,Disasi,Axel Disasi,Defender,Centre-Back,24.0,25000000,AS Monaco,ligue-1,37(1),3330.0,0.8,1.5,0.8,0.4,2.9,0.4,0.8,-,6.83
292808,1003,Wout,Faes,Wout Faes,Defender,Centre-Back,24.0,20000000,Leicester City,premier-league,3,270.0,0.3,2.3,0.7,-,6.3,0.3,1,1,6.37
618472,1041,Castello,Lukeba,Castello Lukeba,Defender,Centre-Back,20.0,20000000,Olympique Lyon,ligue-1,33(1),2986.0,1.1,2.2,1.1,0.8,3,0.3,0.7,1,6.73
348026,583,Nordi,Mukiele,Nordi Mukiele,Defender,Right-Back,25.0,20000000,Paris Saint-Germain,ligue-1,12(7),1133.0,1.6,0.7,0.8,0.1,0.8,0.5,0.5,-,6.76
368891,273,Arthur,Theate,Arthur Theate,Defender,Centre-Back,22.0,20000000,Stade Rennais FC,ligue-1,35,3129.0,0.8,0.9,0.7,0.8,3.2,0.4,0.4,1,6.71
605184,417,Jean-Clair,Todibo,Jean-Clair Todibo,Defender,Centre-Back,23.0,20000000,OGC Nice,ligue-1,33(1),2873.0,2.2,1.2,0.6,0.5,3.1,0.4,0.6,-,6.79
535955,244,Nuno,Tavares,Nuno Tavares,Defender,Left-Back,22.0,18000000,Olympique Marseille,ligue-1,23(8),2349.0,1.8,0.5,1.2,0.1,0.7,0.9,0.1,-,6.86
203348,244,Chancel,Mbemba,Chancel Mbemba,Defender,Centre-Back,28.0,17000000,Olympique Marseille,ligue-1,32(4),2850.0,1.2,1.2,0.5,0.1,2.4,0.3,0.3,-,6.82
620322,1041,Malo,Gusto,Malo Gusto,Defender,Right-Back,19.0,15000000,Olympique Lyon,ligue-1,19(2),1602.0,2,1.3,1,0.2,0.7,1,0.2,1,6.86
474800,826,Facundo,Medina,Facundo Medina,Defender,Centre-Back,23.0,15000000,RC Lens,ligue-1,32,2784.0,1,0.8,1.1,0.2,1.8,0.7,0.3,-,6.8
175639,244,Jonathan,Clauss,Jonathan Clauss,Defender,Right-Back,30.0,15000000,Olympique Marseille,ligue-1,32(2),2604.0,1.4,0.9,0.7,0.1,1.1,0.9,0.1,-,6.95
654539,273,Adrien,Truffert,Adrien Truffert,Defender,Left-Back,21.0,15000000,Stade Rennais FC,ligue-1,24(4),1962.0,2.2,0.8,0.7,0.2,1.6,0.5,0.3,-,6.83
263236,826,Kevin,Danso,Kevin Danso,Defender,Centre-Back,24.0,14000000,RC Lens,ligue-1,37,3234.0,1.0,0.9,1.1,0.7,3.3,0.3,0.9,-,6.94
238266,180,Duje,Caleta-Car,Duje Caleta-Car,Defender,Centre-Back,26.0,14000000,Southampton FC,premier-league,0(1),7.0,-,-,-,-,1,-,-,-,6.14
416108,417,Youcef,Atal,Youcef Atal,Defender,Right-Back,26.0,14000000,OGC Nice,ligue-1,8(10),777.0,2.1,0.8,0.5,-,0.7,0.5,-,-,6.76
483348,273,Djed,Spence,Djed Spence,Defender,Right-Back,22.0,13000000,Stade Rennais FC,ligue-1,7(1),575.0,1.8,0.5,0.9,0.1,1.4,0.9,0.4,-,6.82
249730,162,Guillermo,Maripán,Guillermo Maripán,Defender,Centre-Back,28.0,13000000,AS Monaco,ligue-1,25(1),2160.0,1.8,1.5,1,0.4,3.2,0.6,1,1,6.76
126719,583,Juan,Bernat,Juan Bernat,Defender,Left-Back,29.0,12000000,Paris Saint-Germain,ligue-1,18(10),1648.0,1.1,0.3,0.3,0.1,0.7,0.6,0.1,-,6.61
