player_id,current_club_id,first_name,last_name,name,position,sub_position,age,market_value_in_eur,current_club_name,competition_name,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
102558,583,Marco,Verratti,Marco Verratti,Midfield,Central Midfield,30.0,50000000,Paris Saint-Germain,ligue-1,27(2),2206.0,-,1.1,87.5,92.9,0.1,2.8,0.2,6.94
350219,583,Fabián,Ruiz,Fabián Ruiz,Midfield,Central Midfield,26.0,45000000,Paris Saint-Germain,ligue-1,21(6),1899.0,2,0.6,64.1,92.3,-,2.1,0.1,6.89
372246,583,Carlos,Soler,Carlos Soler,Midfield,Central Midfield,25.0,35000000,Paris Saint-Germain,ligue-1,14(12),1188.0,2,0.5,23.5,87.4,0.2,0.5,0.1,6.46
182893,826,Seko,Fofana,Seko Fofana,Midfield,Central Midfield,27.0,30000000,RC Lens,ligue-1,34(1),3079.0,5,1,50.3,89.3,0.4,2.1,0.1,7.1
543382,162,Mohamed,Camara,Mohamed Camara,Midfield,Defensive Midfield,22.0,25000000,AS Monaco,ligue-1,25(4),2200.0,3,0.6,43.8,87.6,0.1,3.4,0.1,6.78
569598,162,Youssouf,Fofana,Youssouf Fofana,Midfield,Central Midfield,23.0,25000000,AS Monaco,ligue-1,35(1),3089.0,2,0.9,47.7,82.5,-,2.6,0.2,6.89
465830,244,Mattéo,Guendouzi,Mattéo Guendouzi,Midfield,Central Midfield,23.0,25000000,Olympique Marseille,ligue-1,25(8),2113.0,4,0.6,37.3,87.9,0.1,2.2,0.1,6.63
463618,417,Khéphren,Thuram,Khéphren Thuram,Midfield,Defensive Midfield,21.0,25000000,OGC Nice,ligue-1,30(5),2560.0,4,1,37.7,86.9,0.1,1.2,0.1,6.91
258027,583,Renato,Sanches,Renato Sanches,Midfield,Central Midfield,25.0,25000000,Paris Saint-Germain,ligue-1,6(17),705.0,-,0.4,28.6,91.6,-,1.4,-,6.43
395237,1041,Maxence,Caqueret,Maxence Caqueret,Midfield,Central Midfield,22.0,25000000,Olympique Lyon,ligue-1,32(4),2778.0,7,1.7,46.5,86.3,0.8,1.4,0.1,7.04
263918,162,Aleksandr,Golovin,Aleksandr Golovin,Midfield,Attacking Midfield,26.0,22000000,AS Monaco,ligue-1,29(5),2484.0,7,1.7,28.4,74.8,1,1.3,0.1,7.11
387106,273,Lovro,Majer,Lovro Majer,Midfield,Central Midfield,24.0,22000000,Stade Rennais FC,ligue-1,18(14),1670.0,5,1.1,28.0,82.1,0.5,1.1,0.1,6.72
395693,1041,Houssem,Aouar,Houssem Aouar,Midfield,Central Midfield,24.0,20000000,Olympique Lyon,ligue-1,6(10),522.0,1,0.4,22.7,82.4,-,1.0,-,6.42
207877,244,Ruslan,Malinovskyi,Ruslan Malinovskyi,Midfield,Attacking Midfield,29.0,18000000,Olympique Marseille,ligue-1,13(7),1232.0,1,1,24.7,79.8,0.6,1.1,0.1,6.65
266359,273,Benjamin,Bourigeaud,Benjamin Bourigeaud,Midfield,Right Midfield,28.0,18000000,Stade Rennais FC,ligue-1,37,3084.0,10,2.6,46.6,80.8,2,3.1,0.2,7.15
607223,1041,Rayan,Cherki,Rayan Cherki,Midfield,Attacking Midfield,19.0,18000000,Olympique Lyon,ligue-1,21(13),1874.0,6,2.0,28.8,81.0,0.9,1.5,0.2,6.99
166237,506,Leandro,Paredes,Leandro Paredes,Midfield,Defensive Midfield,28.0,15000000,Juventus FC,serie-a,0(3),49.0,1,0.7,23.3,97.1,-,1.0,0.3,6.55
288225,995,Ludovic,Blas,Ludovic Blas,Midfield,Attacking Midfield,25.0,15000000,FC Nantes,ligue-1,30(7),2821.0,5,1.3,28.0,85.5,0.9,1.6,-,7.01
593482,244,Azzedine,Ounahi,Azzedine Ounahi,Midfield,Central Midfield,22.0,15000000,Olympique Marseille,ligue-1,1(6),117.0,-,0.1,13.4,92.6,-,0.4,-,6.32
914562,273,Désiré,Doué,Désiré Doué,Midfield,Attacking Midfield,17.0,15000000,Stade Rennais FC,ligue-1,11(15),1116.0,1,0.6,16.2,81.2,0.3,0.9,-,6.71
221025,1082,André,Gomes,André Gomes,Midfield,Central Midfield,29.0,14000000,LOSC Lille,ligue-1,18(8),1628.0,2,0.5,50.5,89.2,0.1,2.5,-,6.71
